auction,date,year,place,house,name,artwork,price,image,imageTitle,pageUrl,lot,eastimateNew,priceNumAlt,soldRef,soldAlt,currency2,category,style,provenance,exhibitionNew,price for convert,All currency USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Stucco Head Of Buddha,Gandhara 4th/5th Century,50000,http://www.christies.com/lotfinderimages/d58782/a_stucco_head_of_buddha_gandhara_4th_5th_century_d5878271j.jpg,Gandhara 4th/5th Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4001,"Data unavailable, pls. refer Source.",,$50000,,,,,,,50000,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,Two Gray Schist Reliefs Of Female Figures,Gandhara 2nd/3rd Century,10000,http://www.christies.com/lotfinderimages/d58782/two_gray_schist_reliefs_of_female_figures_gandhara_2nd_3rd_century_d5878274j.jpg,Gandhara 2nd/3rd Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4004,"Data unavailable, pls. refer Source.",,$10000,,,,,,,10000,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Gray Schist Figure Of The Teaching Buddha,Gandhara 2nd/3rd Century,137000,http://www.christies.com/lotfinderimages/d58782/a_gray_schist_figure_of_the_teaching_buddha_gandhara_2nd_3rd_century_d5878275j.jpg,Gandhara 2nd/3rd Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4005,"Data unavailable, pls. refer Source.",,$137000,,,,,,,137000,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,Two Gray Schist Heads,Gandhara 2nd/3rd Century,6250,http://www.christies.com/lotfinderimages/d58782/two_gray_schist_heads_gandhara_2nd_3rd_century_d5878276j.jpg,Gandhara 2nd/3rd Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4006,"Data unavailable, pls. refer Source.",,$6250,,,,,,,6250,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Schist Head Of A Bodhisattva,Gandhara 2nd/3rd Century,15000,http://www.christies.com/lotfinderimages/d58782/a_schist_head_of_a_bodhisattva_gandhara_2nd_3rd_century_d5878278j.jpg,Gandhara 2nd/3rd Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4008,"Data unavailable, pls. refer Source.",,$15000,,,,,,,15000,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Gray Schist Turban Ornament With Garuda And Nagini,Gandhara 2nd/3rd Century,13750,http://www.christies.com/lotfinderimages/d58782/a_gray_schist_turban_ornament_with_garuda_and_nagini_gandhara_2nd_3rd_d5878279j.jpg,Gandhara 2nd/3rd Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4009,"Data unavailable, pls. refer Source.",,$13750,,,,,,,13750,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Group Of Three Heads,Gandhara 4th/5th Century,8125,http://www.christies.com/lotfinderimages/d58782/a_group_of_three_heads_gandhara_4th_5th_century_d5878280j.jpg,Gandhara 4th/5th Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4010,"Data unavailable, pls. refer Source.",,$8125,,,,,,,8125,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,Two Gray Schist Reliefs,Gandhara 2nd/3rd Century,6250,http://www.christies.com/lotfinderimages/d58782/two_gray_schist_reliefs_gandhara_2nd_3rd_century_d5878281j.jpg,Gandhara 2nd/3rd Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4011,"Data unavailable, pls. refer Source.",,$6250,,,,,,,6250,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Gray Schist Head Of An Emaciated Siddhartha,Gandhara 2nd/3rd Century,100000,http://www.christies.com/lotfinderimages/d58782/a_gray_schist_head_of_an_emaciated_siddhartha_gandhara_2nd_3rd_century_d5878282j.jpg,Gandhara 2nd/3rd Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4012,"Data unavailable, pls. refer Source.",,$100000,,,,,,,100000,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,Two Gray Schist Reliefs With Scenes From The Life Of The Buddha,Gandhara 2nd/3rd Century,22500,http://www.christies.com/lotfinderimages/d58782/two_gray_schist_reliefs_with_scenes_from_the_life_of_the_buddha_gandha_d5878283j.jpg,Gandhara 2nd/3rd Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4013,"Data unavailable, pls. refer Source.",,$22500,,,,,,,22500,USD
"Indian, Himalayan And Southeast Asian Works Of Art",18 MAR 2015,2015,"New York, Rockefeller Plaza",Christie's,A Rock Crystal Stone And A Red Agate Stone,Gandhara 2nd-5th Century,1750,http://www.christies.com/lotfinderimages/d58782/a_rock_crystal_stone_and_a_red_agate_stone_gandhara_2nd-5th_century_d5878284j.jpg,Gandhara 2nd-5th Century,http://www.christies.com/lotfinder/salebrowse.aspx?intsaleid=25279&viewType=list&num=60,Lot 4014,"Data unavailable, pls. refer Source.",,$1750,,,,,,,1750,USD
